time,class,class_prop,class_rel,class_prop_rel
1152.46,3,1,3,1
1153.46,3,1,3,1
1154.46,3,1,3,1
1155.46,3,1,3,1
1156.46,3,1,3,1
1157.46,3,1,3,1
1158.46,3,1,3,1
1159.46,3,1,3,1
1160.46,3,1,3,1
1161.46,3,1,3,1
1162.46,3,1,3,1
1163.46,3,1,3,1
1164.46,3,1,3,1
1165.46,3,1,3,1
1166.46,3,0.805970149253731,3,0.895522388059702
1167.46,3,0.557213930348259,3,0.646766169154229
1168.46,9,0.691542288557214,9,0.601990049751244
1169.46,9,0.940298507462687,9,0.850746268656716
1170.46,9,1,9,1
1171.46,9,1,9,1
1172.46,9,1,9,1
1173.46,9,1,9,1
1174.46,9,1,9,1
1175.46,9,1,9,1
1176.46,9,1,9,1
1177.46,9,1,9,1
1178.46,9,1,9,1
1179.46,9,1,9,1
1180.46,9,1,9,1
1181.46,9,1,9,1
1182.46,9,1,9,1
1183.46,9,1,9,1
1184.46,9,1,9,1
1185.46,9,1,9,1
1186.46,9,1,9,1
1187.46,9,1,9,1
1188.46,9,1,9,1
1189.46,9,1,9,1
1190.46,9,1,9,1
1191.46,9,1,9,1
1192.46,9,1,9,1
1193.46,9,1,9,1
